scope,storage_root,field_path,field_label,data_type,format,requiredness,required_when,allowed_values,sensitive,persistence_status,derived_or_input,collection_min,collection_max,initial_item_count,sync_party_ids,source_file,source_symbol,source_line,notes
case_file,caseFile,activeWardId,Active ward ID,string,,optional,,,none,persisted,input,,,,,src/core/state.js,state.js module-level _caseFile,,Foreign key to caseFile.wards
case_file,caseFile,guardianName,Account guardian name,string,,optional,,,none,persisted,input,,,,,src/core/state.js,state.js module-level _caseFile,,Case-file owner
case_file,caseFile,guardianEmail,Account guardian email,string,email,optional,,,none,persisted,input,,,,,src/core/state.js,state.js module-level _caseFile,,Case-file owner
case_file,caseFile,parties,Parties,array<object>,,optional,,,personal,persisted,input,,,,,src/core/state.js,state.js module-level _caseFile,,Canonical party records
case_file,caseFile,cases,Cases,array<object>,,optional,,,legal-id,persisted,input,,,,,src/core/state.js,state.js module-level _caseFile,,Case registry
case_file,caseFile,dismissedPartyPairs,Dismissed party duplicate pairs,array<object>,,optional,,,none,persisted,input,,,,,src/core/state.js,state.js module-level _caseFile,,Duplicate-review decisions
case_file,caseFile,wards,Wards,array<object>,,optional,,,personal,persisted,input,,,,,src/core/state.js,state.js module-level _caseFile,,All filing records
case_file,caseFile,lastSavedFileName,Last saved file name,string,,optional,,,none,persisted,derived,,,,,src/core/state.js,state.js module-level _caseFile,,Persistence UI state
common,D,inventoryType,Filing inventory type,enum,,required,,guardian; simplified; annual; finalAccounting; trustAccounting; planSimplified; planAnnual; planInitial; planMinor,none,persisted,input,,,,,src/core/filing/filing-descriptor.js,shared across emptyData*() factories,,guardian; simplified; annual; finalAccounting; trustAccounting; planSimplified; planAnnual; planInitial; planMinor
common,D,wardName,Name of ward,string,,required,,,none,persisted,input,,,,,src/core/state.js,shared across emptyData*() factories,,Shared by all filings
common,D,caseNumber,Case number,string,,required,,,none,persisted,input,,,,,src/core/state.js,shared across emptyData*() factories,,Not present on Plan Minor which uses ucn/ref
common,D,county,County,enum,,required,,FL_COUNTY_CIRCUIT keys (src/core/pdf/circuit-lookup.js),none,persisted,input,,,,,src/core/state.js,shared across emptyData*() factories,,Florida county; default Pinellas
common,D,periodFrom,Reporting/accounting period from,date,iso-date,conditional,annual filings,,none,persisted,input,,,,,src/core/state.js,shared across emptyData*() factories,,ISO date YYYY-MM-DD
common,D,periodTo,Reporting/accounting period to,date,iso-date,conditional,annual filings,,none,persisted,input,,,,,src/core/state.js,shared across emptyData*() factories,,ISO date YYYY-MM-DD
common,D,amendedForm,Amended form,enum,,conditional,some filings,Yes; No,none,persisted,input,,,,,src/core/state.js,shared across emptyData*() factories,,Tri-state Yes/No; new records begin unanswered ('') and explicit answers persist as Yes or No
common,D,amendedVersion,Amended version,string,,conditional,amendedForm is Yes,,none,persisted,input,,,,,src/core/state.js,shared across emptyData*() factories,,Required when amendedForm is Yes
common,D,guardian,Guardian name,string,,conditional,accounting,,none,persisted,input,,,,,src/core/state.js,shared across emptyData*() factories,,Primary guardian display name
common,D,attorney,Attorney name,string,,conditional,accounting,,none,persisted,input,,,,,src/core/state.js,shared across emptyData*() factories,,Linked/display attorney name
